"county","state","puma12","stab","cntyname","PUMAname","pop10","afact"
"county","FIPS state","puma12","State Postal Code","cntyname","PUMA12 Name","Total Pop, 2010 census","county to puma12 alloc factor"
"01001","01","02100","AL","Autauga AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",54571,1 
"01003","01","02600","AL","Baldwin AL","Baldwin County",182265,1 
"01005","01","02400","AL","Barbour AL","Russell, Pike, Barbour, Macon & Bullock Counties",27457,1 
"01007","01","01700","AL","Bibb AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",22915,1 
"01009","01","00800","AL","Blount AL","St. Clair & Blount Counties",57322,1 
"01011","01","02400","AL","Bullock AL","Russell, Pike, Barbour, Macon & Bullock Counties",10914,1 
"01013","01","02300","AL","Butler AL","Coffee, Covington, Butler & Crenshaw Counties",20947,1 
"01015","01","01100","AL","Calhoun AL","Calhoun County",118572,1 
"01017","01","01800","AL","Chambers AL","Chilton, Tallapoosa, Chambers & Coosa Counties",34215,1 
"01019","01","01000","AL","Cherokee AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",25989,1 
"01021","01","01800","AL","Chilton AL","Chilton, Tallapoosa, Chambers & Coosa Counties",43643,1 
"01023","01","02200","AL","Choctaw AL","Southwest Alabama",13859,1 
"01025","01","02200","AL","Clarke AL","Southwest Alabama",25833,1 
"01027","01","01000","AL","Clay AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",13932,1 
"01029","01","01000","AL","Cleburne AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",14972,1 
"01031","01","02300","AL","Coffee AL","Coffee, Covington, Butler & Crenshaw Counties",49948,1 
"01033","01","00100","AL","Colbert AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",54428,1 
"01035","01","02200","AL","Conecuh AL","Southwest Alabama",13228,1 
"01037","01","01800","AL","Coosa AL","Chilton, Tallapoosa, Chambers & Coosa Counties",11539,1 
"01039","01","02300","AL","Covington AL","Coffee, Covington, Butler & Crenshaw Counties",37765,1 
"01041","01","02300","AL","Crenshaw AL","Coffee, Covington, Butler & Crenshaw Counties",13906,1 
"01043","01","00700","AL","Cullman AL","Cullman & Winston Counties",80406,1 
"01045","01","02500","AL","Dale AL","Houston, Dale, Geneva & Henry Counties--Dothan City",50251,1 
"01047","01","01700","AL","Dallas AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",43820,1 
"01049","01","00400","AL","DeKalb AL","DeKalb & Jackson Counties",71109,1 
"01051","01","02100","AL","Elmore AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",79303,1 
"01053","01","02200","AL","Escambia AL","Southwest Alabama",38319,1 
"01055","01","00900","AL","Etowah AL","Etowah County",104430,1 
"01057","01","01400","AL","Fayette AL","Walker, Marion (South & West), Fayette & Lamar Counties",17241,1 
"01059","01","00100","AL","Franklin AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",31704,1 
"01061","01","02500","AL","Geneva AL","Houston, Dale, Geneva & Henry Counties--Dothan City",26790,1 
"01063","01","01700","AL","Greene AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",9045,1 
"01065","01","01700","AL","Hale AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",15760,1 
"01067","01","02500","AL","Henry AL","Houston, Dale, Geneva & Henry Counties--Dothan City",17302,1 
"01069","01","02500","AL","Houston AL","Houston, Dale, Geneva & Henry Counties--Dothan City",101547,1 
"01071","01","00400","AL","Jackson AL","DeKalb & Jackson Counties",53227,1 
"01073","01","01301","AL","Jefferson AL","Birmingham City (West)",100833,0.153 
"01073","01","01302","AL","Jefferson AL","Birmingham City (East)",102098,0.155 
"01073","01","01303","AL","Jefferson AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",170145,0.258 
"01073","01","01304","AL","Jefferson AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",174673,0.265 
"01073","01","01305","AL","Jefferson AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",110717,0.168 
"01075","01","01400","AL","Lamar AL","Walker, Marion (South & West), Fayette & Lamar Counties",14564,1 
"01077","01","00100","AL","Lauderdale AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",92709,1 
"01079","01","00600","AL","Lawrence AL","Morgan & Lawrence Counties--Decatur City",34339,1 
"01081","01","01900","AL","Lee AL","Lee County--Auburn City",140247,1 
"01083","01","00200","AL","Limestone AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",82782,1 
