"age","demo_mode","month_called","age_num","demo_age_bucket","demo_sex","demo_education","demo_hispanic","demo_race","demo_relig","demo_income","demo_hhsize","demo_phonetype","demo_state","demo_region","demo_pop_density","demo_reg","demo_party","demo_ideology","y_dem","y_rep","y_oth","age_scaled","p_surveyed","p_matched","support","age_num_imp"
"56","landline",9,56,"04-50to59","02-male","02-bach","02-N","O","01-protestant","09-over150k","2","01-Both","GA","South","03","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.0444878167980259,0.485065140632601,0.173681488061823,"2-Rep",56
"80","landline",9,80,"06-Over 70","02-male","01-postgrad","02-N","O","07-other","07-75to100k","2","01-Both","MD","South","04","01-Yes","01-Dem","01-Very liberal",1,0,0,0.309791983363499,0.928617305341148,0.598441266172814,"1-Dem",80
"51","landline",9,51,"04-50to59","01-female","02-bach","02-N","W","04-jewish","09-over150k","2","01-Both","NY","Northeast","05-Highest","01-Yes","01-Dem","02-Liberal",1,0,0,-0.0107838845697811,0.352808863064872,0.709567569346866,"1-Dem",51
"49","landline",9,49,"03-40to49","01-female","03-assoc","02-N","B","01-protestant","06-50to75k","1","01-Both","GA","South","04","01-Yes","01-Dem","03-Moderate",1,0,0,-0.0328925651169039,0.0890330936889928,0.0890330936889928,"1-Dem",49
"37","landline",9,37,"02-30to39","02-male","01-postgrad","02-N","W","01-protestant","08-100to150k","3","01-Both","NY","Northeast","05-Highest","01-Yes","02-Rep","04-Conservative",1,0,0,-0.165544648399641,0.105439268834599,0.122224538289137,"1-Dem",37
"82","landline",9,82,"06-Over 70","02-male","01-postgrad","02-N","W","02-catholic","05-40to50k","2","01-Both","WV","South","01-Lowest","01-Yes","02-Rep","03-Moderate",1,0,0,0.331900663910622,0.941828324315622,0.950315032229996,"1-Dem",82
"80","landline",9,80,"06-Over 70","02-male","04-HS","02-N","W","02-catholic","02-10to20k","2","02-LL only","PA","Northeast","02","01-Yes","01-Dem","03-Moderate",0,1,0,0.309791983363499,0.743767117426883,0.849707389213831,"2-Rep",80
"30","landline",9,30,"02-30to39","01-female","04-HS","02-N","O","07-other","02-10to20k","1","01-Both","NC","South","01-Lowest","01-Yes","03-Lean Dem","04-Conservative",1,0,0,-0.24292503031457,0.0120813325772527,0.00321319158314659,"1-Dem",30
"72","landline",9,72,"06-Over 70","02-male","04-HS","02-N","B","01-protestant","04-30to40k","2","01-Both","SC","South","01-Lowest","01-Yes","01-Dem","03-Moderate",0,0,1,0.221357261175008,0.547483580903294,0.186008395477934,"3-Other",72
"66","landline",9,66,"05-60to69","01-female","03-assoc","02-N","W","03-athiest","05-40to50k","2","01-Both","PA","Northeast","03","01-Yes","01-Dem","02-Liberal",1,0,0,0.15503121953364,0.385601049331338,0.768671598673685,"1-Dem",66
"66","landline",9,66,"05-60to69","01-female","04-HS","02-N","W","07-other","03-20to30k","2","01-Both","PA","Northeast","02","01-Yes","05-Ind","03-Moderate",0,0,1,0.15503121953364,0.122836285936057,0.630452564951314,"3-Other",66
"58","landline",9,58,"04-50to59","02-male","04-HS","02-N","W","01-protestant","99-DK/refused","2","02-LL only","OH","Midwest","02","02-Probably","02-Rep","04-Conservative",0,1,0,0.0665964973451487,0.207349928803881,0.118403031323089,"2-Rep",58
"26","landline",9,26,"01-Under 30","01-female","02-bach","02-N","W","03-athiest","06-50to75k","4","01-Both","MI","Midwest","04","01-Yes","03-Lean Dem","02-Liberal",1,0,0,-0.287142391408816,0.0341744386039552,0.136873362505369,"1-Dem",26
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","02-bach","02-N","O","02-catholic","99-DK/refused","2","02-LL only","NC","South","02","03-No","04-Lean Rep","05-Very conservative",0,1,0,0,0.268941421369995,0.000467956725632936,"2-Rep",51.9755339805825
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","01-postgrad","02-N","O","03-athiest","99-DK/refused","2","01-Both","SC","South","03","01-Yes","01-Dem","02-Liberal",0,0,1,0,0.268941421369995,0.00344745130156357,"3-Other",51.9755339805825
"77","landline",9,77,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","02-10to20k","1","02-LL only","MA","Northeast","03","01-Yes","05-Ind","02-Liberal",0,1,0,0.276628962542815,0.318096454970323,0.917141930764409,"2-Rep",77
"74","landline",9,74,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","06-50to75k","2","01-Both","WV","South","02","01-Yes","02-Rep","04-Conservative",0,1,0,0.243465941722131,0.600918012605508,0.917533098040457,"2-Rep",74
"72","landline",9,72,"06-Over 70","01-female","02-bach","02-N","W","04-jewish","07-75to100k","3","01-Both","FL","South","04","01-Yes","02-Rep","04-Conservative",0,1,0,0.221357261175008,0.844291010909127,0.821103502441223,"2-Rep",72
"64","landline",9,64,"05-60to69","02-male","03-assoc","02-N","W","01-protestant","04-30to40k","3","02-LL only","NC","South","02","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.132922538986517,0.335229968384896,0.413069377133122,"2-Rep",64
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","01-postgrad","02-N","O","01-protestant","08-100to150k","2","01-Both","DC","South","05-Highest","01-Yes","01-Dem","02-Liberal",1,0,0,0,0.268941421369995,0.0883996772070584,"1-Dem",51.9755339805825
"91","landline",9,91,"06-Over 70","02-male","03-assoc","02-N","W","07-other","06-50to75k","1","01-Both","NJ","Northeast","03","02-Probably","04-Lean Rep","04-Conservative",0,1,0,0.431389726372675,0.906272540064271,0.994877356569846,"2-Rep",91
"31","landline",9,31,"02-30to39","02-male","03-assoc","02-N","W","07-other","05-40to50k","3","01-Both","PA","Northeast","02","01-Yes","01-Dem","02-Liberal",1,0,0,-0.231870690041009,0.0134591272814901,0.0258846245601623,"1-Dem",31
"60","landline",9,60,"05-60to69","02-male","04-HS","02-N","W","01-protestant","04-30to40k","2","01-Both","PA","Northeast","02","01-Yes","02-Rep","04-Conservative",0,1,0,0.0887051778922715,0.24560513805084,0.552590398884816,"2-Rep",60
"64","landline",9,64,"05-60to69","02-male","04-HS","02-N","W","01-protestant","03-20to30k","2","01-Both","MA","Northeast","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.132922538986517,0.335229968384896,0.578196840185943,"1-Dem",64
"73","landline",9,73,"06-Over 70","01-female","04-HS","02-N","W","04-jewish","03-20to30k","2","01-Both","PA","Northeast","05-Highest","01-Yes","01-Dem","03-Moderate",1,0,0,0.23241160144857,0.574418077302156,0.785818157202896,"1-Dem",73
"61","landline",9,61,"05-60to69","01-female","03-assoc","02-N","W","04-jewish","06-50to75k","2","01-Both","PA","Northeast","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.0997595181658329,0.266432399924516,0.728534673184103,"1-Dem",61
"83","landline",9,83,"06-Over 70","01-female","01-postgrad","02-N","W","01-protestant","99-DK/refused","1","02-LL only","MD","South","04","01-Yes","01-Dem","04-Conservative",1,0,0,0.342955004184184,0.947539894231675,0.84904743186657,"1-Dem",83
"85","landline",9,85,"06-Over 70","01-female","04-HS","02-N","W","02-catholic","99-DK/refused","2","01-Both","VT","Northeast","01-Lowest","01-Yes","03-Lean Dem","02-Liberal",1,0,0,0.365063684731306,0.833771946110232,0.720296453457236,"1-Dem",85
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","01-postgrad","02-N","W","01-protestant","99-DK/refused","2","01-Both","NY","Northeast","02","01-Yes","02-Rep","02-Liberal",0,0,1,0,0.268941421369995,0.0649691691286641,"3-Other",51.9755339805825
"39","landline",9,39,"02-30to39","01-female","03-assoc","01-Y","O","01-protestant","02-10to20k","2","01-Both","TN","South","02","02-Probably","03-Lean Dem","03-Moderate",1,0,0,-0.143435967852518,0.031694193679074,0.00316400449795163,"1-Dem",39
