"age","demo_mode","month_called","age_num","demo_age_bucket","demo_sex","demo_education","demo_hispanic","demo_race","demo_relig","demo_income","demo_hhsize","demo_phonetype","demo_state","demo_region","demo_pop_density","demo_reg","demo_party","demo_ideology","y_dem","y_rep","y_oth","age_scaled","p_surveyed","p_matched","support","age_num_imp"
"56","landline",9,56,"04-50to59","02-male","02-bach","02-N","O","01-protestant","09-over150k","2","01-Both","GA","South","03","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.0444878167980259,0.276926807411488,0.288415270227019,"2-Rep",56
"80","landline",9,80,"06-Over 70","02-male","01-postgrad","02-N","O","07-other","07-75to100k","2","01-Both","MD","South","04","01-Yes","01-Dem","01-Very liberal",1,0,0,0.309791983363499,0.840993820127603,0.954017075499925,"1-Dem",80
"51","landline",9,51,"04-50to59","01-female","02-bach","02-N","W","04-jewish","09-over150k","2","01-Both","NY","Northeast","05-Highest","01-Yes","01-Dem","02-Liberal",1,0,0,-0.0107838845697811,0.181426106875653,0.018087059161816,"1-Dem",51
"49","landline",9,49,"03-40to49","01-female","03-assoc","02-N","B","01-protestant","06-50to75k","1","01-Both","GA","South","04","01-Yes","01-Dem","03-Moderate",1,0,0,-0.0328925651169039,0.038217366856534,0.279483434160597,"1-Dem",49
"37","landline",9,37,"02-30to39","02-male","01-postgrad","02-N","W","01-protestant","08-100to150k","3","01-Both","NY","Northeast","05-Highest","01-Yes","02-Rep","04-Conservative",1,0,0,-0.165544648399641,0.045729757992585,0.0181371814169589,"1-Dem",37
"82","landline",9,82,"06-Over 70","02-male","01-postgrad","02-N","W","02-catholic","05-40to50k","2","01-Both","WV","South","01-Lowest","01-Yes","02-Rep","03-Moderate",1,0,0,0.331900663910622,0.868118501587886,0.51509257451779,"1-Dem",82
"80","landline",9,80,"06-Over 70","02-male","04-HS","02-N","W","02-catholic","02-10to20k","2","02-LL only","PA","Northeast","02","01-Yes","01-Dem","03-Moderate",0,1,0,0.309791983363499,0.541315888538384,0.0669660872418949,"2-Rep",80
"30","landline",9,30,"02-30to39","01-female","04-HS","02-N","O","07-other","02-10to20k","1","01-Both","NC","South","01-Lowest","01-Yes","03-Lean Dem","04-Conservative",1,0,0,-0.24292503031457,0.00494737311693968,0.635556097702015,"1-Dem",30
"72","landline",9,72,"06-Over 70","02-male","04-HS","02-N","B","01-protestant","04-30to40k","2","01-Both","SC","South","01-Lowest","01-Yes","01-Dem","03-Moderate",0,0,1,0.221357261175008,0.329711193095082,0.433520185600616,"3-Other",72
"66","landline",9,66,"05-60to69","01-female","03-assoc","02-N","W","03-athiest","05-40to50k","2","01-Both","PA","Northeast","03","01-Yes","01-Dem","02-Liberal",1,0,0,0.15503121953364,0.203292595819221,0.0154205781516088,"1-Dem",66
"66","landline",9,66,"05-60to69","01-female","04-HS","02-N","W","07-other","03-20to30k","2","01-Both","PA","Northeast","02","01-Yes","05-Ind","03-Moderate",0,0,1,0.15503121953364,0.0538682188854005,0.00797704367290137,"3-Other",66
"58","landline",9,58,"04-50to59","02-male","04-HS","02-N","W","01-protestant","99-DK/refused","2","02-LL only","OH","Midwest","02","02-Probably","02-Rep","04-Conservative",0,1,0,0.0665964973451487,0.0961308770513326,0.000213959669565686,"2-Rep",58
"26","landline",9,26,"01-Under 30","01-female","02-bach","02-N","W","03-athiest","06-50to75k","4","01-Both","MI","Midwest","04","01-Yes","03-Lean Dem","02-Liberal",1,0,0,-0.287142391408816,0.014181900935262,0.509267973409037,"1-Dem",26
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","02-bach","02-N","O","02-catholic","99-DK/refused","2","02-LL only","NC","South","02","03-No","04-Lean Rep","05-Very conservative",0,1,0,0,0.130108474362998,0.000467956725632936,"2-Rep",51.9755339805825
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","01-postgrad","02-N","O","03-athiest","99-DK/refused","2","01-Both","SC","South","03","01-Yes","01-Dem","02-Liberal",0,0,1,0,0.130108474362998,0.00931595934506669,"3-Other",51.9755339805825
"77","landline",9,77,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","02-10to20k","1","02-LL only","MA","Northeast","03","01-Yes","05-Ind","02-Liberal",0,1,0,0.276628962542815,0.159422189229157,0.0700141446208934,"2-Rep",77
