"age","demo_mode","month_called","age_num","demo_age_bucket","demo_sex","demo_education","demo_hispanic","demo_race","demo_relig","demo_income","demo_hhsize","demo_phonetype","demo_state","demo_region","demo_pop_density","demo_reg","demo_party","demo_ideology","y_dem","y_rep","y_oth","age_scaled","p_surveyed","p_matched"
"56","landline",9,56,"04-50to59","02-male","02-bach","02-N","O","01-protestant","09-over150k","2","01-Both","GA","South","03","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.220121393251465,0.485065140632601,0.173681488061823
"80","landline",9,80,"06-Over 70","02-male","01-postgrad","02-N","O","07-other","07-75to100k","2","01-Both","MD","South","04","01-Yes","01-Dem","01-Very liberal",1,0,0,1.53282062155799,0.928617305341148,0.598441266172814
"51","landline",9,51,"04-50to59","01-female","02-bach","02-N","W","04-jewish","09-over150k","2","01-Both","NY","Northeast","05-Highest","01-Yes","01-Dem","02-Liberal",1,0,0,-0.0533576126457282,0.352808863064872,0.709567569346866
"49","landline",9,49,"03-40to49","01-female","03-assoc","02-N","B","01-protestant","06-50to75k","1","01-Both","GA","South","04","01-Yes","01-Dem","03-Moderate",1,0,0,-0.162749215004606,0.0890330936889928,0.0890330936889928
"37","landline",9,37,"02-30to39","02-male","01-postgrad","02-N","W","01-protestant","08-100to150k","3","01-Both","NY","Northeast","05-Highest","01-Yes","02-Rep","04-Conservative",1,0,0,-0.81909882915787,0.105439268834599,0.122224538289137
"82","landline",9,82,"06-Over 70","02-male","01-postgrad","02-N","W","02-catholic","05-40to50k","2","01-Both","WV","South","01-Lowest","01-Yes","02-Rep","03-Moderate",1,0,0,1.64221222391687,0.941828324315622,0.950315032229996
"80","landline",9,80,"06-Over 70","02-male","04-HS","02-N","W","02-catholic","02-10to20k","2","02-LL only","PA","Northeast","02","01-Yes","01-Dem","03-Moderate",0,1,0,1.53282062155799,0.743767117426883,0.849707389213831
"30","landline",9,30,"02-30to39","01-female","04-HS","02-N","O","07-other","02-10to20k","1","01-Both","NC","South","01-Lowest","01-Yes","03-Lean Dem","04-Conservative",1,0,0,-1.20196943741394,0.0120813325772527,0.00321319158314659
"72","landline",9,72,"06-Over 70","02-male","04-HS","02-N","B","01-protestant","04-30to40k","2","01-Both","SC","South","01-Lowest","01-Yes","01-Dem","03-Moderate",0,0,1,1.09525421212248,0.547483580903294,0.186008395477934
"66","landline",9,66,"05-60to69","01-female","03-assoc","02-N","W","03-athiest","05-40to50k","2","01-Both","PA","Northeast","03","01-Yes","01-Dem","02-Liberal",1,0,0,0.767079405045852,0.385601049331338,0.768671598673685
"66","landline",9,66,"05-60to69","01-female","04-HS","02-N","W","07-other","03-20to30k","2","01-Both","PA","Northeast","02","01-Yes","05-Ind","03-Moderate",0,0,1,0.767079405045852,0.122836285936057,0.630452564951314
"58","landline",9,58,"04-50to59","02-male","04-HS","02-N","W","01-protestant","99-DK/refused","2","02-LL only","OH","Midwest","02","02-Probably","02-Rep","04-Conservative",0,1,0,0.329512995610343,0.207349928803881,0.118403031323089
"26","landline",9,26,"01-Under 30","01-female","02-bach","02-N","W","03-athiest","06-50to75k","4","01-Both","MI","Midwest","04","01-Yes","03-Lean Dem","02-Liberal",1,0,0,-1.4207526421317,0.0341744386039552,0.136873362505369
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","02-bach","02-N","O","02-catholic","99-DK/refused","2","02-LL only","NC","South","02","03-No","04-Lean Rep","05-Very conservative",0,1,0,0,0.268941421369995,0.000467956725632936
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","01-postgrad","02-N","O","03-athiest","99-DK/refused","2","01-Both","SC","South","03","01-Yes","01-Dem","02-Liberal",0,0,1,0,0.268941421369995,0.00344745130156357
"77","landline",9,77,"06-Over 70","02-male","03-assoc","02-N","W","01-protestant","02-10to20k","1","02-LL only","MA","Northeast","03","01-Yes","05-Ind","02-Liberal",0,1,0,1.36873321801968,0.318096454970323,0.917141930764409
"74","landline",9,74,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","06-50to75k","2","01-Both","WV","South","02","01-Yes","02-Rep","04-Conservative",0,1,0,1.20464581448136,0.600918012605508,0.917533098040457
"72","landline",9,72,"06-Over 70","01-female","02-bach","02-N","W","04-jewish","07-75to100k","3","01-Both","FL","South","04","01-Yes","02-Rep","04-Conservative",0,1,0,1.09525421212248,0.844291010909127,0.821103502441223
"64","landline",9,64,"05-60to69","02-male","03-assoc","02-N","W","01-protestant","04-30to40k","3","02-LL only","NC","South","02","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.657687802686975,0.335229968384896,0.413069377133122
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","01-postgrad","02-N","O","01-protestant","08-100to150k","2","01-Both","DC","South","05-Highest","01-Yes","01-Dem","02-Liberal",1,0,0,0,0.268941421369995,0.0883996772070584
"91","landline",9,91,"06-Over 70","02-male","03-assoc","02-N","W","07-other","06-50to75k","1","01-Both","NJ","Northeast","03","02-Probably","04-Lean Rep","04-Conservative",0,1,0,2.13447443453182,0.906272540064271,0.994877356569846
"31","landline",9,31,"02-30to39","02-male","03-assoc","02-N","W","07-other","05-40to50k","3","01-Both","PA","Northeast","02","01-Yes","01-Dem","02-Liberal",1,0,0,-1.1472736362345,0.0134591272814901,0.0258846245601623
"60","landline",9,60,"05-60to69","02-male","04-HS","02-N","W","01-protestant","04-30to40k","2","01-Both","PA","Northeast","02","01-Yes","02-Rep","04-Conservative",0,1,0,0.43890459796922,0.24560513805084,0.552590398884816
"64","landline",9,64,"05-60to69","02-male","04-HS","02-N","W","01-protestant","03-20to30k","2","01-Both","MA","Northeast","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.657687802686975,0.335229968384896,0.578196840185943
"73","landline",9,73,"06-Over 70","01-female","04-HS","02-N","W","04-jewish","03-20to30k","2","01-Both","PA","Northeast","05-Highest","01-Yes","01-Dem","03-Moderate",1,0,0,1.14995001330192,0.574418077302156,0.785818157202896
"61","landline",9,61,"05-60to69","01-female","03-assoc","02-N","W","04-jewish","06-50to75k","2","01-Both","PA","Northeast","04","01-Yes","01-Dem","02-Liberal",1,0,0,0.493600399148659,0.266432399924516,0.728534673184103
"83","landline",9,83,"06-Over 70","01-female","01-postgrad","02-N","W","01-protestant","99-DK/refused","1","02-LL only","MD","South","04","01-Yes","01-Dem","04-Conservative",1,0,0,1.69690802509631,0.947539894231675,0.84904743186657
"85","landline",9,85,"06-Over 70","01-female","04-HS","02-N","W","02-catholic","99-DK/refused","2","01-Both","VT","Northeast","01-Lowest","01-Yes","03-Lean Dem","02-Liberal",1,0,0,1.80629962745519,0.833771946110232,0.720296453457236
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","01-postgrad","02-N","W","01-protestant","99-DK/refused","2","01-Both","NY","Northeast","02","01-Yes","02-Rep","02-Liberal",0,0,1,0,0.268941421369995,0.0649691691286641
"39","landline",9,39,"02-30to39","01-female","03-assoc","01-Y","O","01-protestant","02-10to20k","2","01-Both","TN","South","02","02-Probably","03-Lean Dem","03-Moderate",1,0,0,-0.709707226798993,0.031694193679074,0.00316400449795163
"83","landline",9,83,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","99-DK/refused","2","01-Both","MA","Northeast","03","01-Yes","03-Lean Dem","03-Moderate",1,0,0,1.69690802509631,0.801200755078595,0.67417941297502
"56","landline",9,56,"04-50to59","02-male","03-assoc","02-N","W","01-protestant","06-50to75k","3","01-Both","GA","South","05-Highest","01-Yes","04-Lean Rep","03-Moderate",0,1,0,0.220121393251465,0.173681488061823,0.363603637691299
"64","landline",9,64,"05-60to69","01-female","02-bach","02-N","W","01-protestant","03-20to30k","2","01-Both","WV","South","02","01-Yes","01-Dem","03-Moderate",1,0,0,0.657687802686975,0.693253828716924,0.578196840185943
"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","02-male","03-assoc","02-N","W","01-protestant","04-30to40k","2","01-Both","SC","South","03","01-Yes","04-Lean Rep","03-Moderate",0,1,0,0,0.0758581800212436,0.339243631234183
"77","landline",9,77,"06-Over 70","01-female","04-HS","02-N","W","01-protestant","99-DK/refused","2","01-Both","NC","South","03","01-Yes","02-Rep","03-Moderate",0,1,0,1.36873321801968,0.676441587302752,0.517692552475654
"38","landline",9,38,"02-30to39","01-female","01-postgrad","02-N","B","01-protestant","08-100to150k","3","01-Both","NY","Northeast","05-Highest","01-Yes","01-Dem","01-Very liberal",1,0,0,-0.764403027978431,0.116211491561933,0.00767456583260665
"79","landline",9,79,"06-Over 70","01-female","03-assoc","02-N","B","01-protestant","03-20to30k","1","01-Both","NC","South","04","01-Yes","01-Dem","02-Liberal",1,0,0,1.47812482037856,0.722370292747803,0.489064154486596
"62","landline",9,62,"05-60to69","01-female","03-assoc","02-N","W","02-catholic","99-DK/refused","3","02-LL only","MI","Midwest","04","03-No","02-Rep","04-Conservative",0,1,0,0.548296200328097,0.288350738348414,0.0102510187478234
"82","landline",9,82,"06-Over 70","02-male","01-postgrad","02-N","W","01-protestant","99-DK/refused","1","02-LL only","FL","South","02","02-Probably","05-Ind","04-Conservative",0,1,0,1.64221222391687,0.78320197409332,0.834485668251873
"53","landline",9,53,"04-50to59","01-female","02-bach","02-N","W","07-other","09-over150k","5","01-Both","NY","Northeast","05-Highest","03-No","03-Lean Dem","01-Very liberal",1,0,0,0.0560339897131491,0.404215223614089,0.527987708975284
"60","landline",9,60,"05-60to69","01-female","03-assoc","02-N","W","01-protestant","04-30to40k","1","01-Both","NC","South","04","01-Yes","02-Rep","04-Conservative",0,1,0,0.43890459796922,0.24560513805084,0.770501044003334
"64","landline",9,64,"05-60to69","02-male","03-assoc","02-N","W","02-catholic","99-DK/refused","2","01-Both","NY","Northeast","01-Lowest","01-Yes","04-Lean Rep","04-Conservative",0,1,0,0.657687802686975,0.335229968384896,0.205659379231329
"67","landline",9,67,"05-60to69","02-male","02-bach","02-N","W","07-other","09-over150k","2","01-Both","MA","Northeast","04","01-Yes","03-Lean Dem","02-Liberal",1,0,0,0.821775206225291,0.758330902498158,0.933612359198492
"82","landline",9,82,"06-Over 70","01-female","03-assoc","02-N","B","07-other","99-DK/refused","1","01-Both","OH","Midwest","04","01-Yes","01-Dem","99-DK/refused",1,0,0,1.64221222391687,0.78320197409332,0.200649130989034
"32","landline",9,32,"02-30to39","01-female","04-HS","02-N","W","01-protestant","03-20to30k","3","02-LL only","NC","South","02","03-No","02-Rep","03-Moderate",0,1,0,-1.09257783505506,0.0149916657820483,0.00205554690514378
"43","landline",9,43,"03-40to49","01-female","02-bach","02-N","W","01-protestant","99-DK/refused","4","01-Both","VA","South","03","01-Yes","01-Dem","03-Moderate",1,0,0,-0.490924022081238,0.185148445400672,0.0660806135214157
"70","landline",9,70,"06-Over 70","01-female","03-assoc","02-N","W","01-protestant","08-100to150k","2","01-Both","DE","South","02","01-Yes","01-Dem","03-Moderate",1,0,0,0.985862609763607,0.492931775774299,0.933291916023374
"73","landline",9,73,"06-Over 70","02-male","03-assoc","02-N","O","01-protestant","08-100to150k","3","02-LL only","GA","South","04","01-Yes","04-Lean Rep","03-Moderate",0,0,1,1.14995001330192,0.574418077302156,0.26241902767393
"73","landline",9,73,"06-Over 70","02-male","02-bach","02-N","W","02-catholic","99-DK/refused","2","01-Both","FL","South","02","01-Yes","02-Rep","04-Conservative",0,1,0,1.14995001330192,0.858136764968206,0.409322545752296
