"bag","age","demo_mode","month_called","age_num","demo_age_bucket","demo_sex","demo_education","demo_hispanic","demo_race","demo_relig","demo_income","demo_hhsize","demo_phonetype","demo_state","demo_region","demo_pop_density","demo_reg","demo_party","demo_ideology","y_dem","y_rep","y_oth","age_scaled","p_surveyed","p_matched","holdout","surveyed","matched","voterfile","y_dem_basicdr","y_dem_basicdr_dec","y_dem_hat","y_hat_dec","y_hat_lasso","y_hat_lasso_dec","y_bagmean","y_rep_hat","y_oth_hat","y_dem_grpmean.x","y_rep_grpmean.x","y_oth_grpmean.x","y_logit_dem","y_logit_rep","y_logit_oth","y_dem_grpmean.y","y_rep_grpmean.y","y_oth_grpmean.y","qsupport_3way"
1,"32","landline",9,32,"02-30to39","01-female","04-HS","02-N","W","01-protestant","03-20to30k","3","02-LL only","NC","South","02","03-No","02-Rep","03-Moderate",0,1,0,-1.09257783505506,0.0149916657820483,0.00205554690514378,0,0,0,1,0.662789615359316,"8",0.545313235172661,"3",0.533641777220707,NA,NA,0.437758538886886,0.0169282259404533,0.6875,0.25,0.0625,0.436059389952767,0.532345589395144,0.0315950206520894,0.6875,0.25,0.0625,"2-R"
1,"38","landline",9,38,"02-30to39","01-female","02-bach","02-N","W","07-other","07-75to100k","4","01-Both","MD","South","04","01-Yes","01-Dem","03-Moderate",1,0,0,-0.764403027978431,0.116211491561933,0.451286829825488,0,1,1,0,0.230830233676755,NA,0.457963533091806,NA,0.348939103893173,NA,0.352941176470588,0.525453947017922,0.0165825198902723,0.6875,0.25,0.0625,0.510619031055763,0.424269656780306,0.0651113121639307,0.6875,0.25,0.0625,"1-D"
1,"38","landline",9,38,"02-30to39","01-female","03-assoc","02-N","W","01-protestant","99-DK/refused","3","01-Both","SC","South","03","01-Yes","01-Dem","03-Moderate",1,0,0,-0.764403027978431,0.0285036307969159,0.00551105601161766,0,0,0,1,0.348724387336148,"4",0.491870440447149,"2",0.434431892175633,NA,0.371134020618557,0.476833291263556,0.0312962682892951,0.6875,0.25,0.0625,0.413839902580309,0.556124162616157,0.0300359348035336,0.6875,0.25,0.0625,"1-D"
1,"(VOL) Don't know/Refused","landline",9,NA,"99-DNK/refused","01-female","99-DK/refused","02-N","W","07-other","99-DK/refused","1","01-Both","TX","South","05-Highest","02-Probably","01-Dem","03-Moderate",1,0,0,0,0.0758581800212436,0.158869104880915,0,0,0,1,0.978041533039431,"10",0.484909641583853,"2",0.446043173231838,NA,0.371134020618557,0.464069109358347,0.0510212490577994,0.6875,0.25,0.0625,0.422094134482408,0.508678080185874,0.0692277853317174,0.6875,0.25,0.0625,"1-D"
1,"33","landline",9,33,"02-30to39","01-female","03-assoc","02-N","W","01-protestant","03-20to30k","3","01-Both","SC","South","02","01-Yes","04-Lean Rep","03-Moderate",0,1,0,-1.03788203387562,0.0166957552565528,0.0166957552565528,0,1,0,0,0.400179494578424,NA,0.513637579052434,NA,0.560089715898539,NA,0.486486486486487,0.469247454129037,0.0171149668185297,0.6875,0.25,0.0625,0.556427097815835,0.401330078723438,0.042242823460727,0.6875,0.25,0.0625,"2-R"
1,"32","cell",9,32,"02-30to39","01-female","01-postgrad","02-N","W","07-other","07-75to100k","2","03-Cell only","FL","South","03","01-Yes","02-Rep","04-Conservative",0,1,0,-1.09257783505506,0.234126459621243,0.536976783453335,0,1,0,0,0.189065714326006,NA,0.470856191843006,NA,0.219133327331362,NA,0.352941176470588,0.510069342356978,0.0190744658000163,0.6875,0.25,0.0625,0.510619031055763,0.424269656780306,0.0651113121639307,0.6875,0.25,0.0625,"2-R"
1,"33","cell",9,33,"02-30to39","01-female","02-bach","02-N","W","02-catholic","02-10to20k","1","03-Cell only","VA","South","05-Highest","01-Yes","01-Dem","01-Very liberal",1,0,0,-1.03788203387562,0.254308464175884,0.399128567173701,0,0,0,1,0.184183395137524,"2",0.608248380116015,"7",0.288830767039651,NA,0.486486486486487,0.384483982877771,0.0072676370062136,0.6875,0.25,0.0625,0.510619031055763,0.424269656780306,0.0651113121639307,0.6875,0.25,0.0625,"1-D"
1,"34","cell",9,34,"02-30to39","01-female","04-HS","02-N","W","07-other","04-30to40k","5","03-Cell only","TN","South","02","01-Yes","03-Lean Dem","02-Liberal",1,0,0,-0.983186232696186,0.0782494765260448,0.5907244133706,0,0,0,1,0.436999861432071,"6",0.427471968696382,"4",0.316925099825067,NA,0.371134020618557,0.554308205665252,0.0182198256383665,0.6875,0.25,0.0625,0.53476465281581,0.424568252322177,0.0406670948620135,0.6875,0.25,0.0625,"1-D"
1,"18","cell",9,18,"01-Under 30","01-female","04-HS","02-N","W","01-protestant","07-75to100k","2","03-Cell only","SC","South","03","01-Yes","04-Lean Rep","05-Very conservative",0,1,0,-1.85831905156721,0.0145337964808892,0.200478763646717,0,0,0,1,0.14807124946384,"1",0.502518122689373,"2",0.481016974837125,NA,0.352941176470588,0.452911827300465,0.0445700500101621,0.6875,0.25,0.0625,0.510619031055763,0.424269656780306,0.0651113121639307,0.6875,0.25,0.0625,"2-R"
1,"38","cell",9,38,"02-30to39","01-female","03-assoc","02-N","W","03-athiest","06-50to75k","4","01-Both","DE","South","04","01-Yes","01-Dem","02-Liberal",1,0,0,-0.764403027978431,0.116211491561933,0.813238791817874,1,0,0,0,0.52056381384773,"7",0.480566224402799,"9",0.466227983266524,"5",0.371134020618557,0.494104371509227,0.025329404087974,0.6875,0.25,0.0625,0.522592764779562,0.443170687561935,0.034236547658503,0.6875,0.25,0.0625,"1-D"
