"model","results_id","match_rate","n_bags","n_landmarks","party","y_hat_dem","y_hat_rep","y_hat_oth","class_rate","y_dem","y_rep","y_oth","y_hat_dem_2way","error_dem","error_rep","error_oth","error_dem_2way"
"logit_alldata","partyinsurvey_match10_bags190_lmks431.965590751264",0.0993996348024369,190,431.965590751264,"insurvey",0.489718133695911,0.418280510009004,0.0920013562950867,0.631,0.494,0.418,0.088,0.539337957265784,-0.00428186630408944,0.000280510009004031,0.00400135629508667,-0.00232870940088248
"logit","partyinsurvey_match10_bags190_lmks431.965590751264",0.0993996348024369,190,431.965590751264,"insurvey",0.560606060606057,0.38383838383839,0.0555555555555566,0.494,0.494,0.418,0.088,0.593582887700532,0.0666060606060573,-0.0341616161616097,-0.0324444444444434,0.0519162210338653
"dr","partyinsurvey_match10_bags190_lmks431.965590751264",0.0993996348024369,190,431.965590751264,"insurvey",0.508503255821465,0.437388793593614,0.0541079505849202,0.582,0.494,0.418,0.088,0.537591214701417,0.0145032558214654,0.019388793593614,-0.0338920494150797,-0.00407545196524972
"dr_sepbags","partyinsurvey_match10_bags190_lmks431.965590751264",0.0993996348024369,190,431.965590751264,"insurvey",0.51065487007763,0.43497576627473,0.0543693636476406,0.592,0.494,0.418,0.088,0.540015150151449,0.0166548700776297,0.0169757662747302,-0.0336306363523594,-0.00165151651521755
"logit_bagfeat","partyinsurvey_match10_bags190_lmks431.965590751264",0.0993996348024369,190,431.965590751264,"insurvey",0.530878510878062,0.413485755227216,0.0556357338947221,0.543172690763052,0.494,0.418,0.088,0.562154382511207,0.0368785108780619,-0.00451424477278373,-0.0323642661052779,0.0204877158445407
"logit_regfeat","partyinsurvey_match10_bags190_lmks431.965590751264",0.0993996348024369,190,431.965590751264,"insurvey",0.537951435689829,0.404895673315186,0.0571528909949849,0.516,0.494,0.418,0.088,0.570560624890209,0.0439514356898288,-0.0131043266848139,-0.0308471090050151,0.0288939582235428
"grpmean","partyinsurvey_match10_bags190_lmks431.965590751264",0.0993996348024369,190,431.965590751264,"insurvey",0.496503163840366,0.442666186866087,0.0608306492935484,0.449,0.494,0.418,0.088,0.528662017629613,0.00250316384036592,0.0246661868660866,-0.0271693507064516,-0.013004649037054
"logit_alldata","partyinsurvey_match10_bags84_lmks396.64038522169",0.0967318657186533,84,396.64038522169,"insurvey",0.492628424090649,0.414960417059448,0.0924111588499017,0.644,0.501,0.407,0.092,0.542788101566332,-0.00837157590935078,0.00796041705944811,0.000411158849901727,-0.00897401297111289
"logit","partyinsurvey_match10_bags84_lmks396.64038522169",0.0967318657186533,84,396.64038522169,"insurvey",0.528658881668892,0.386051962128382,0.0852891562027272,0.594,0.501,0.407,0.092,0.577951912622191,0.027658881668892,-0.0209480378716178,-0.0067108437972728,0.026189798084746
"dr","partyinsurvey_match10_bags84_lmks396.64038522169",0.0967318657186533,84,396.64038522169,"insurvey",0.491430930504956,0.441985838726761,0.0665832307682842,0.548,0.501,0.407,0.092,0.526486074285388,-0.00956906949504449,0.0349858387267611,-0.0254167692317158,-0.0252760402520574
"dr_sepbags","partyinsurvey_match10_bags84_lmks396.64038522169",0.0967318657186533,84,396.64038522169,"insurvey",0.526785864142612,0.39226827960556,0.0809458562518272,0.526,0.501,0.407,0.092,0.573182622292768,0.0257858641426124,-0.01473172039444,-0.0110541437481728,0.0214205077553233
"logit_bagfeat","partyinsurvey_match10_bags84_lmks396.64038522169",0.0967318657186533,84,396.64038522169,"insurvey",0.519421626775504,0.397655355617102,0.0829230176073952,0.605,0.501,0.407,0.092,0.566388249566968,0.0184216267755042,-0.00934464438289767,-0.00907698239260479,0.0146261350295226
"logit_regfeat","partyinsurvey_match10_bags84_lmks396.64038522169",0.0967318657186533,84,396.64038522169,"insurvey",0.529382291838844,0.386366586607616,0.0842511215535398,0.53,0.501,0.407,0.092,0.578086748778688,0.0283822918388442,-0.0206334133923837,-0.00774887844646023,0.0263246342412431
"grpmean","partyinsurvey_match10_bags84_lmks396.64038522169",0.0967318657186533,84,396.64038522169,"insurvey",0.48267295285353,0.448468982699417,0.0688580644470522,0.484,0.501,0.407,0.092,0.518366679046519,-0.0183270471464702,0.0414689826994166,-0.0231419355529478,-0.0333954354909255
"logit_alldata","partyinsurvey_match11_bags161_lmks76.6277895863168",0.108266728527774,161,76.6277895863168,"insurvey",0.485675064461446,0.422413911604196,0.0919110239343579,0.639,0.491,0.417,0.092,0.534832023361485,-0.00532493553855373,0.00541391160419619,-8.89760656421074e-05,-0.0059168753169293
"logit","partyinsurvey_match11_bags161_lmks76.6277895863168",0.108266728527774,161,76.6277895863168,"insurvey",0.486078708072483,0.427684018504602,0.086237273422913,0.561,0.491,0.417,0.092,0.531952873470022,-0.00492129192751672,0.0106840185046022,-0.00576272657708699,-0.00879602520839229
"dr","partyinsurvey_match11_bags161_lmks76.6277895863168",0.108266728527774,161,76.6277895863168,"insurvey",0.492158183655662,0.438760017582191,0.0690817987621481,0.484,0.491,0.417,0.092,0.528680374925782,0.00115818365566217,0.021760017582191,-0.0229182012378519,-0.0120685237526319
"dr_sepbags","partyinsurvey_match11_bags161_lmks76.6277895863168",0.108266728527774,161,76.6277895863168,"insurvey",0.507352867832927,0.413688419219335,0.0789587129477387,0.552,0.491,0.417,0.092,0.550847041240333,0.0163528678329266,-0.00331158078066546,-0.0130412870522613,0.0100981425619192
"logit_bagfeat","partyinsurvey_match11_bags161_lmks76.6277895863168",0.108266728527774,161,76.6277895863168,"insurvey",0.494146064607337,0.41986819659697,0.0859857387956933,0.575727181544634,0.491,0.417,0.092,0.540632773011933,0.00314606460733746,0.00286819659696985,-0.00601426120430675,-0.000116125666481226
"logit_regfeat","partyinsurvey_match11_bags161_lmks76.6277895863168",0.108266728527774,161,76.6277895863168,"insurvey",0.486055093586994,0.427631896789175,0.0863130096238331,0.544,0.491,0.417,0.092,0.531971122174875,-0.0049449064130061,0.0106318967891753,-0.00568699037616689,-0.00877777650353884
"grpmean","partyinsurvey_match11_bags161_lmks76.6277895863168",0.108266728527774,161,76.6277895863168,"insurvey",0.497538268696663,0.435215560505093,0.0672461707982432,0.434,0.491,0.417,0.092,0.533407907981951,0.00653826869666341,0.0182155605050929,-0.0247538292017568,-0.00734099069646266
"logit_alldata","partyinsurvey_match11_bags167_lmks173.191957366653",0.110983262104082,167,173.191957366653,"insurvey",0.485457708426543,0.42116900157846,0.0933732899949977,0.625,0.486,0.417,0.097,0.535454893474145,-0.000542291573456699,0.00416900157846034,-0.00362671000500227,-0.00275108659229983
"logit","partyinsurvey_match11_bags167_lmks173.191957366653",0.110983262104082,167,173.191957366653,"insurvey",0.528736254679939,0.41483079350641,0.0564329518136475,0.585,0.486,0.417,0.097,0.560358965159108,0.0427362546799389,-0.00216920649359026,-0.0405670481863525,0.0221529850926631
"dr","partyinsurvey_match11_bags167_lmks173.191957366653",0.110983262104082,167,173.191957366653,"insurvey",0.509443031664304,0.422209985997583,0.0683469823381132,0.589,0.486,0.417,0.097,0.54681627387718,0.0234430316643036,0.00520998599758277,-0.0286530176618868,0.00861029381073497
"dr_sepbags","partyinsurvey_match11_bags167_lmks173.191957366653",0.110983262104082,167,173.191957366653,"insurvey",0.513284525922437,0.422460274178212,0.0642551998993513,0.585,0.486,0.417,0.097,0.548530460299889,0.0272845259224367,0.0054602741782121,-0.0327448001006487,0.0103244802334441
"logit_bagfeat","partyinsurvey_match11_bags167_lmks173.191957366653",0.110983262104082,167,173.191957366653,"insurvey",0.536374689184361,0.405434842435432,0.0581904683802081,0.552,0.486,0.417,0.097,0.569515035871282,0.0503746891843615,-0.0115651575645682,-0.0388095316197919,0.0313090558048372
"logit_regfeat","partyinsurvey_match11_bags167_lmks173.191957366653",0.110983262104082,167,173.191957366653,"insurvey",0.535425255423462,0.40718758552152,0.0573871590550143,0.486,0.486,0.417,0.097,0.568022450115032,0.0494252554234618,-0.00981241447847953,-0.0396128409449857,0.0298164700485869
"grpmean","partyinsurvey_match11_bags167_lmks173.191957366653",0.110983262104082,167,173.191957366653,"insurvey",0.503715302151252,0.426710460720867,0.0695742371278831,0.464,0.486,0.417,0.097,0.541381507533004,0.0177153021512523,0.00971046072086668,-0.0274257628721169,0.00317552746655925
"logit_alldata","partyinsurvey_match12_bags81_lmks147.334521762328",0.119987104576291,81,147.334521762328,"insurvey",0.483976844256057,0.422420831964471,0.0936023237794723,0.622,0.487,0.421,0.092,0.533956404515654,-0.00302315574394324,0.00142083196447135,0.00160232377947235,-0.00238720781914792
"logit","partyinsurvey_match12_bags81_lmks147.334521762328",0.119987104576291,81,147.334521762328,"insurvey",0.49056927140258,0.436147808543582,0.0732829200538393,0.585,0.487,0.421,0.092,0.529362501262068,0.00356927140257984,0.015147808543582,-0.0187170799461607,-0.00698111107273336
"dr","partyinsurvey_match12_bags81_lmks147.334521762328",0.119987104576291,81,147.334521762328,"insurvey",0.501332117940394,0.428978088759033,0.0696897933005728,0.526,0.487,0.421,0.092,0.538887044697736,0.0143321179403942,0.00797808875903305,-0.0223102066994272,0.00254343236293419
"dr_sepbags","partyinsurvey_match12_bags81_lmks147.334521762328",0.119987104576291,81,147.334521762328,"insurvey",0.514100011644436,0.414132981055749,0.0717670072998161,0.564,0.487,0.421,0.092,0.553848027044314,0.0271000116444361,-0.00686701894425146,-0.0202329927001839,0.0175044147095124
"logit_bagfeat","partyinsurvey_match12_bags81_lmks147.334521762328",0.119987104576291,81,147.334521762328,"insurvey",0.502020743825043,0.423762463293192,0.074216792881765,0.594,0.487,0.421,0.092,0.54226598621045,0.0150207438250433,0.00276246329319202,-0.017783207118235,0.00592237387564853
"logit_regfeat","partyinsurvey_match12_bags81_lmks147.334521762328",0.119987104576291,81,147.334521762328,"insurvey",0.499835521845258,0.427617124280437,0.0725473538742989,0.487,0.487,0.421,0.092,0.538933738486001,0.0128355218452584,0.00661712428043748,-0.0194526461257011,0.00259012615119947
"grpmean","partyinsurvey_match12_bags81_lmks147.334521762328",0.119987104576291,81,147.334521762328,"insurvey",0.502732801806218,0.427631389278925,0.0696358089148577,0.458,0.487,0.421,0.092,0.540361297891151,0.0157328018062183,0.00663138927892482,-0.0223641910851423,0.00401768555634918
